model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
base,CHN,Q260,2,0.05733337269413957,0.002383187377118366,-0.011115926896457906,-0.0038575228215517177,0.057333372694139406,1.0
base,CHN,Q275,9,0.8231638679298494,0.6263449465045783,-1.551833057080378,-1.2718515390373617,3.460124837640536,0.0
base,CHN,Q288,10,0.5161379956900837,0.30864350178499766,-0.9924224666317543,-0.9468086016404249,1.799065012836972,0.0
base,CHN,Q43,3,0.7860300498279642,0.5277831847617224,-0.8744405811032885,-0.5817639637274212,-0.3833867115230962,0.0
base,CHN,Q50,10,0.5649297446698586,0.33103822615587436,-1.6557121147304292,-1.6288877436577567,-0.17887281167871105,0.0
base,CHN,Q57,2,0.3708540495947288,0.10258637566404694,-0.1029112947517763,-0.03665016504074797,0.3708540495947288,0.0
base,CHN,Q58,4,0.38653165400023526,0.12713302273301685,0.4019193770027166,0.12896407056146547,0.3857850960900586,0.0
base,CHN,Q59,4,0.22431908641159712,0.05857345763820136,-0.7081104305766096,-0.2653485809666698,0.005490653685901847,1.0
base,CHN,Q60,4,0.1116574768691419,0.04699463979880441,-0.3682211914969199,-0.12278144444903605,-0.15738742820001206,1.0
base,CHN,Q61,4,0.749880995416464,0.4767551279203453,-0.6971325268891171,-0.2562846577000624,-0.9359066531738951,0.0
base,CHN,Q62,4,0.7689266037792901,0.5263606581994021,-1.1649202728098622,-0.46323004091867626,-1.0117830535162091,0.0
base,CHN,Q63,4,0.7846942456308792,0.5359894994386472,-0.9943326868301086,-0.3928946682925871,-1.0659859973389922,0.0
base,CHN,Q64,4,0.44228441558745485,0.17774044135180084,-0.03468341302323297,-0.030424047050514602,-0.7335586715869864,0.0
base,CHN,Q69,4,0.24864004576268686,0.08278649929965999,-0.38961550184092086,-0.18353447187125727,0.2920083619822411,1.0
base,CHN,Q70,4,0.2535156043255024,0.09603971757895909,-0.3481009582043739,-0.15605923705605984,0.351092194573827,1.0
base,CHN,Q71,4,0.6534595955351623,0.482691691460216,-0.29805805896022,-0.12732032913652513,1.120990855829766,0.0
base,CHN,Q73,4,0.41816876020554516,0.2652105048425035,-0.1014443581719573,-0.05825073190018304,0.7768203072983262,1.0
base,CHN,Q81,4,0.20019172348524572,0.04385587016876066,-0.5812783122804823,-0.25161602452797427,-0.0815455265799434,1.0
base,CHN,Q99,3,0.7286389395740065,0.4706805658183465,1.1594547011960052,0.5477916477671989,1.2742783515182583,0.0
base,DEU,Q101,3,0.603124241809035,0.2887093632781726,0.799541925272953,0.2606847174639402,1.0080612500172692,0.0
base,DEU,Q103,3,0.32270001125871944,0.12403776140819893,0.9105110059416888,0.5033195674347645,0.554590299689125,1.0
base,DEU,Q106,10,0.5509310752435432,0.321974580108921,-1.3929774766002068,-1.6650778780371587,-0.38340972702799636,1.0
base,DEU,Q107,10,0.2723273166928242,0.09086278891055866,-0.14789732651685616,-0.4053379564559092,0.3122316542477348,1.0
base,DEU,Q109,10,0.6214151597729004,0.3981701149236957,-0.907583916118665,-1.2319617575446387,1.7177510529898683,0.0
base,DEU,Q174,2,0.55118245818006,0.33351664508132145,-0.9291302897578759,-0.4125014842870857,0.55118245818006,0.0
base,DEU,Q176,10,0.594152718825842,0.3750710521181507,-1.2591502648314,-1.9175456204349688,-0.4711395452489029,0.0
base,DEU,Q177,10,0.154332137598885,0.06518023921471179,-0.1684204096513806,0.5153480676454363,0.19025253614176796,1.0
base,DEU,Q178,10,0.815536695366235,0.642019731505995,0.9721946366356267,0.0245047559108873,4.21778173076752,0.0
base,DEU,Q179,10,0.08773896050643919,0.04990033455731946,0.25568203021032754,0.9809697502572249,0.36826719910214667,1.0
base,DEU,Q195,10,0.7585968727679436,0.5597014808428182,0.25473102225465905,-1.2875182721703176,3.076121980108108,0.0
base,DEU,Q260,2,0.04843304538841589,0.0017026030925849332,-0.010638538809841669,-0.0036920610033199797,0.04843304538841564,1.0
base,DEU,Q275,9,0.797885385456185,0.5750084909655124,-1.7861028796248073,-1.3017972736228365,1.9407989670413945,0.0
base,DEU,Q288,10,0.32919283070440364,0.15483738293141663,-0.9422817142597679,-0.8113891936178477,0.7572148668826886,0.0
base,DEU,Q43,3,0.7893467734221156,0.5201199194789049,-0.9781251566089786,-0.6544316626201827,0.038834400835165095,0.0
base,DEU,Q50,10,0.6205785490644926,0.42032579231000355,-1.5524175161000409,-1.5375864566048467,-0.8337981148173359,0.0
base,DEU,Q57,2,0.19057274867049068,0.02853325682644029,-0.15532383049297682,-0.05494876008701616,0.19057274867049045,1.0
base,DEU,Q58,4,0.3900961882153038,0.1298413597675718,0.35668299266127934,0.08845578527603565,0.3722867908283203,0.0
base,DEU,Q59,4,0.24513070359840983,0.06786705576345319,-0.7958542058587327,-0.3108614466421735,-0.04202845721113979,1.0
base,DEU,Q60,4,0.12863220554978522,0.024419985276910167,-0.37589134908814337,-0.12802653072105363,0.03496040316612192,1.0
base,DEU,Q61,4,0.5296011921709685,0.2499988926034759,-0.9079748893386399,-0.3600280553220872,-0.6916325902865772,0.0
