iso3,year,gdp_pc_ppp,gini,agri_empl
AZE,2017,19659.0048562768,,36.3506388833822
AZE,2018,19781.8509058437,,36.2613565467275
AZE,2019,20101.491875147,,35.9495205782749
BDI,2015,992.28580552029,,86.4139199438273
BDI,2016,1006.55907385999,,86.3185344552209
BDI,2017,1020.8498275719,,86.3098493789793
BDI,2018,1043.40558434036,,85.7271812254413
BDI,2019,1054.72592734898,,85.037534800998
BEL,2015,57509.0245728704,27.7,1.17652617859345
BEL,2016,57901.497690315,27.6,1.25134460761102
BEL,2017,58529.3302957537,27.4,1.17852530515845
BEL,2018,59357.6896884396,27.2,0.862860776670702
BEL,2019,60479.9769955469,27.2,1.08145129137307
BEN,2015,2952.00218338705,47.6,43.1917046345585
BEN,2016,2962.66381572265,,43.3256529870326
BEN,2017,3041.77929984989,,42.9445886542896
BEN,2018,3155.4510650627,37.9,42.3163727552176
BEN,2019,3281.10470051465,,41.9865160039013
BFA,2015,2101.70266192027,,57.6106551982306
BFA,2016,2162.72578977814,,56.1607711907331
BFA,2017,2232.28781490944,,54.5825993907749
BFA,2018,2316.39432079045,43.0,53.0356069665737
BFA,2019,2391.53626844484,,51.5701324352258
BGD,2015,5352.71133299566,,43.542342342038
BGD,2016,5682.53553494306,32.4,42.6647464152912
BGD,2017,6005.70718781048,,40.5973044110147
BGD,2018,6392.59334024091,,40.7657978851531
BGD,2019,6838.32611608243,,40.84013231722
BGR,2015,24562.648880929,38.6,6.80641139967944
BGR,2016,25636.7443903478,40.6,6.9006563820887
BGR,2017,26691.758001902,40.4,7.19002440372406
BGR,2018,27690.893655005,41.3,6.71485377864172
BGR,2019,29149.921509976,40.3,6.78847141688132
BHR,2015,54149.9131524721,,1.07451685159139
BHR,2016,54107.0752236423,,1.04493207941484
BHR,2017,53859.7749589601,,1.02005540635245
BHR,2018,54893.0724411368,,0.993353468665851
BHR,2019,56749.9628370612,,0.963344658136244
BHS,2015,32777.5849410742,,1.88008207310586
BHS,2016,32172.3365152976,,1.58535662960442
BHS,2017,33050.0350128611,,1.31296091001109
BHS,2018,33650.2164350935,,1.09058280554217
BHS,2019,33202.4902105068,,0.911046438061496
BIH,2015,14220.0900038037,32.9,18.9793902788915
BIH,2016,14873.6411107879,,19.0488180646494
BIH,2017,15554.6587430766,,19.9970302252281
BIH,2018,16348.9997145353,,16.7346185366321
BIH,2019,17029.2971980343,,19.0404119903467
BLR,2015,25513.2132958317,25.6,9.73828547459337
BLR,2016,24846.8301529359,25.3,9.7382853989959
BLR,2017,25503.9809845207,25.4,10.6964599733844
BLR,2018,26363.4629778536,25.2,11.3147377559419
BLR,2019,26798.8206398076,25.3,11.0571052693771
BLZ,2015,12348.7944978311,,18.0820198075045
BLZ,2016,12063.0600374093,,18.561761532416
BLZ,2017,11572.3007931461,,17.4176185018736
BLZ,2018,11451.8979413877,39.9,17.4213821008228
BLZ,2019,11765.9748661176,,16.8604583830359
BMU,2015,93863.8483363419,,
BMU,2016,93269.0137558453,,
BMU,2017,96441.2718767256,,
BMU,2018,95643.2734055543,,
BMU,2019,95523.9623126026,,
BOL,2015,11144.6415720641,46.7,27.9913929784824
BOL,2016,11448.02180322,45.2,27.5245435383413
BOL,2017,11755.2556195885,44.6,28.2661150516845
BOL,2018,11920.3135079645,42.6,28.7570263173778
BOL,2019,11930.9159145918,41.6,25.1991880579003
BRA,2015,18357.0690617991,51.9,9.33239155729419
BRA,2016,17620.9272434136,53.4,9.79792938880965
BRA,2017,17724.4799577784,53.3,9.19143068916888
BRA,2018,17917.7492123359,53.9,9.05694322318805
BRA,2019,18018.6209151518,53.5,8.87727798547265
BRB,2015,19642.2322500219,,2.89027332095861
BRB,2016,19877.1120083968,34.1,2.86173727025336
BRB,2017,19966.3202405154,,3.10540524849048
BRB,2018,19877.6759569235,,3.09500333497666
BRB,2019,19890.455714094,,2.82767700409596
BRN,2015,81910.1882959493,,1.40279843974459
BRN,2016,78880.6228501768,,1.38015205064965
BRN,2017,78966.8643142346,,1.35853484596359
